slug,target_money_page,current_primary_phrase,proposed_primary_phrase,meta_length,phrase_meta_overlap,needs_primary_phrase,needs_primary_repair,needs_meta_review
"does-credit-score-affect-car-insurance","/best/best-credit-monitoring-services/","does credit score affect car insurance","Does Your Credit Score Affect Car Insurance? (Yes — Here's How Much)",147,0.63,false,false,false
"are-small-business-loans-worth-it","/best/best-small-business-loans/","are small business loans worth it","Are Small Business Loans Worth It? (SBA, MCAs, and the Real Math)",139,0.5,false,false,false
"can-i-do-debt-consolidation-myself","/best/best-debt-consolidation-loans/","can i do debt consolidation myself","Can I Do Debt Consolidation Myself? (And When You Shouldn't)",153,0.6,false,false,false
"can-i-get-a-car-loan-with-my-credit-score","/best/best-personal-loan-lenders/","can i get a car loan with my credit score","Can I Get a Car Loan With My Credit Score? (500 to 700+ Tiers Explained)",147,0.63,false,false,false
"personal-loans-bad-credit-how-to-qualify","/best/best-personal-loans-bad-credit/","personal loans for bad credit 2026","Personal Loans for Bad Credit: How to Actually Get Approved (and What It Costs)",159,0.43,false,false,false
"how-credit-card-interest-works","/best/best-secured-credit-cards/","how credit card interest works","How Credit Card Interest Works (And Why Your Statement Balance Keeps Growing)",159,0.33,false,false,false
"sofi-personal-loans-review","/best/best-personal-loan-lenders/","sofi personal loans review","SoFi Personal Loans Review: Rates, Requirements, and What to Know Before You Apply",150,0.67,false,false,false
"how-to-build-credit-score-fast","/best/best-credit-builder-loans/","how to build credit score fast","How to Build Your Credit Score Fast (Realistic Timelines + Steps That Actually Work)",153,0.6,false,false,false
"build-credit-with-no-credit-history","/best/best-credit-builder-loans/","how to build credit with no credit history","How to Build Credit With No Credit History (Step-by-Step)",150,0.5,false,false,false
"build-credit-with-no-history","/best/best-credit-builder-loans/","how to build credit with no history","How to Build Credit With No History (Step-by-Step for Beginners)",157,0.4,false,false,false
"personal-loan-interest-rates-explained","/best/best-personal-loan-lenders/","personal loan interest rates explained","Personal Loan Interest Rates: What They Are, Where They're Headed, and How to Get the Lowest One",154,0.33,false,false,false
"how-to-get-a-personal-loan","/best/best-personal-loan-lenders/","how to get a personal loan","How to Get a Personal Loan (Even With Fair or No Credit)",158,0.8,false,false,false
"small-business-loans-guide","/best/best-small-business-loans/","how to obtain small business loan","Small Business Loans: Are They Worth It? (What to Know Before You Borrow)",160,0.38,false,false,false
"small-business-loans-sba-merchant-cash-advances","/best/best-small-business-loans/","what are sba loans","Small Business Loans, SBA Loans, and Merchant Cash Advances (What You Actually Need to Know)",154,0.7,false,false,false
"can-you-do-debt-consolidation-yourself-guide","/best/best-debt-consolidation-loans/","Can You Do Debt Consolidation Yourself? (Yes — Here's Exactly How)","Can You Do Debt Consolidation Yourself? (Yes — Here's Exactly How)",156,0.5,false,false,false
"how-much-can-you-borrow-with-your-credit-score","/best/best-personal-loan-lenders/","How Much Can You Borrow With Your Credit Score (Auto Loans, Personal Loans, and Real Numbers)","How Much Can You Borrow With Your Credit Score (Auto Loans, Personal Loans, and Real Numbers)",149,0.56,false,false,false
"how-to-find-best-personal-loan-lenders","/best/best-personal-loan-lenders/","How to Find the Best Personal Loan Lenders (Step-by-Step for 2026)","How to Find the Best Personal Loan Lenders (Step-by-Step for 2026)",156,0.57,false,false,false
"easy-approval-credit-cards","/best/best-no-credit-check-cards/","Easy Approval Credit Cards (Even With a 500 Score or No Credit History)","Easy Approval Credit Cards (Even With a 500 Score or No Credit History)",157,0.75,false,false,false
"best-personal-loans-bad-credit-guide","/best/best-personal-loans-bad-credit/","Best Personal Loans for Bad Credit: How to Compare, Apply, and Actually Get Approved","Best Personal Loans for Bad Credit: How to Compare, Apply, and Actually Get Approved",154,0.56,false,false,false
"top-secured-credit-cards","/best/best-secured-credit-cards/","Top Secured Credit Cards: How They Work and Who They're For","Top Secured Credit Cards: How They Work and Who They're For",157,0.86,false,false,false
"no-credit-check-cards-guide","/best/best-no-credit-check-cards/","No Credit Check Credit Cards: How They Work (and How to Actually Get Approved)","No Credit Check Credit Cards: How They Work (and How to Actually Get Approved)",158,0.57,false,false,false
"should-i-get-a-secured-credit-card-to-build-credit","/best/best-secured-credit-cards/","Should You Get a Secured Credit Card to Build Credit? (What Actually Works)","Should You Get a Secured Credit Card to Build Credit? (What Actually Works)",150,0.57,false,false,false
